Image_ID,X_Global,Y_Global,Z_Tiefe_lokal
3485,53.50718893,9.73974441,1.72
3500,53.50718035,9.73979099,2.10
3500,53.50718243,9.73979101,1.88
3515,53.50718124,9.73978986,1.90
3515,53.50718484,9.73979156,1.51
3515,53.50717927,9.73979452,1.97
3530,53.50717819,9.73981393,1.74
3530,53.50717911,9.73981685,1.58
3530,53.50717760,9.73982013,1.65
3545,53.50717567,9.73984611,1.54
3545,53.50717379,9.73984929,1.65
3545,53.50717563,9.73985224,1.40
3560,53.50717467,9.73988368,1.15
3560,53.50716756,9.73988631,1.77
3560,53.50717123,9.73988849,1.37
3575,53.50716492,9.73991562,1.71
3575,53.50716978,9.73991858,1.17
3575,53.50716541,9.73992159,1.53
3590,53.50715912,9.73994886,1.41
3590,53.50715716,9.73995195,1.52
3590,53.50715955,9.73995459,1.23
3605,53.50715700,9.73998893,1.17
3605,53.50715034,9.73999103,1.72
3620,53.50714616,9.74003282,1.34
3620,53.50714321,9.74003633,1.52
3635,53.50714224,9.74007276,1.28
3635,53.50714109,9.74007707,1.25
3650,53.50713132,9.74011142,1.49
3650,53.50712992,9.74011514,1.51
3665,53.50712681,9.74015129,1.50
3665,53.50712758,9.74015469,1.32
3680,53.50711945,9.74019033,1.34
3680,53.50711881,9.74019307,1.29
3695,53.50711123,9.74023300,1.23
3695,53.50710762,9.74023344,1.49
3710,53.50709804,9.74028133,1.80
3710,53.50709789,9.74028396,1.71
3710,53.50709547,9.74028690,1.84
3725,53.50709506,9.74032968,1.66
3725,53.50709703,9.74033313,1.34
3725,53.50708855,9.74033533,2.10
3740,53.50708214,9.74037361,1.93
3740,53.50708006,9.74037609,2.03
3740,53.50708546,9.74037911,1.44
3755,53.50708154,9.74041734,1.12
3755,53.50707628,9.74041767,1.55
3755,53.50707805,9.74042103,1.28
3770,53.50707454,9.74046458,1.30
3770,53.50707356,9.74046682,1.30
3785,53.50706225,9.74050271,1.70
3785,53.50705811,9.74050431,1.96
3800,53.50705394,9.74055166,1.65
3800,53.50705607,9.74055472,1.35
3800,53.50705486,9.74055699,1.37
3815,53.50705290,9.74059933,1.32
3815,53.50704809,9.74059999,1.72
3815,53.50705141,9.74060459,1.27
3830,53.50704009,9.74064374,1.66
3830,53.50704114,9.74064737,1.44
3845,53.50703513,9.74069265,1.21
3845,53.50703335,9.74069444,1.29
3860,53.50703216,9.74073679,1.18
3860,53.50702953,9.74073807,1.36
3860,53.50702303,9.74073930,1.89
3875,53.50701482,9.74078400,1.98
3875,53.50701279,9.74078736,2.05
3890,53.50701109,9.74083052,1.46
3890,53.50700731,9.74083176,1.77
3890,53.50700468,9.74083358,1.95
3905,53.50700380,9.74087429,1.83
3905,53.50700767,9.74087890,1.30
3905,53.50700045,9.74088052,1.92
3920,53.50699524,9.74091731,1.80
3920,53.50699348,9.74091874,1.90
3920,53.50699370,9.74092220,1.75
3935,53.50698726,9.74095394,1.79
3935,53.50699027,9.74095873,1.32
3935,53.50698255,9.74095700,1.99
3950,53.50698110,9.74101117,1.40
3950,53.50698163,9.74101401,1.24
3950,53.50697624,9.74101467,1.72
3965,53.50697290,9.74106203,1.80
3965,53.50697036,9.74106406,1.94
3965,53.50697338,9.74106752,1.54
3980,53.50696442,9.74111420,1.61
3980,53.50696748,9.74111677,1.23
3995,53.50696000,9.74115670,1.62
3995,53.50695697,9.74115850,1.86
3995,53.50695478,9.74116230,1.95
4010,53.50695032,9.74120154,1.69
4010,53.50694565,9.74120453,2.01
4025,53.50694187,9.74124028,1.73
4025,53.50694149,9.74124319,1.65
4025,53.50693931,9.74124504,1.76
4040,53.50693322,9.74128151,1.80
4040,53.50693035,9.74128525,1.87
4055,53.50692869,9.74133386,1.77
4055,53.50692965,9.74133760,1.53
4070,53.50692052,9.74138542,1.64
4070,53.50692158,9.74138812,1.44
4070,53.50691853,9.74139065,1.67
4085,53.50691558,9.74143109,1.21
4085,53.50691469,9.74143299,1.23
4085,53.50690481,9.74143440,2.20
4100,53.50690509,9.74147291,1.88
4100,53.50690784,9.74147648,1.49
4115,53.50689820,9.74151337,1.75
4115,53.50689803,9.74151662,1.61
4115,53.50689972,9.74152000,1.30
4130,53.50688834,9.74156349,1.87
4130,53.50688793,9.74156699,1.75
4130,53.50688412,9.74156991,2.02
4145,53.50688357,9.74161440,1.28
4145,53.50688251,9.74161655,1.30
4145,53.50688034,9.74161869,1.45
4160,53.50687745,9.74166122,1.49
4160,53.50687485,9.74166414,1.70
4160,53.50687445,9.74166684,1.61
4175,53.50686972,9.74171149,1.31
4175,53.50686916,9.74171383,1.30
4175,53.50686512,9.74171694,1.66
4190,53.50686008,9.74175337,1.38
4190,53.50685741,9.74175700,1.53
4190,53.50685679,9.74175926,1.51
4205,53.50685223,9.74179741,1.75
4205,53.50685211,9.74180105,1.63
4205,53.50685189,9.74180372,1.56
4220,53.50684373,9.74185036,1.62
4220,53.50684461,9.74185342,1.45
4220,53.50684167,9.74185645,1.67
4235,53.50683464,9.74189398,1.66
4235,53.50683341,9.74189621,1.69
4235,53.50683256,9.74189860,1.71
4235,53.50682892,9.74190155,1.99
4250,53.50682829,9.74194200,1.81
4250,53.50682773,9.74194500,1.78
4250,53.50683102,9.74194749,1.37
4265,53.50681460,9.74198272,2.40
4265,53.50681650,9.74198743,2.05
4265,53.50681897,9.74199090,1.69
4280,53.50681184,9.74203057,1.75
4280,53.50681023,9.74203321,1.78
4280,53.50680678,9.74203674,2.02
