Image_ID,Tree_Index,Class,X_Global,Y_Global,Z_Tiefe_lokal
3485,9,trunk,5956422.8581,644811.2299,1.73
3495,13,trunk,5956421.3889,644811.1879,2.25
3495,5,trunk,5956421.4592,644811.4801,1.73
3505,9,trunk,5956420.7440,644812.2734,1.86
3505,6,trunk,5956421.0848,644812.3929,1.60
3515,4,trunk,5956421.0478,644813.0961,1.89
3515,9,trunk,5956421.0527,644813.1808,1.52
3515,24,trunk,5956421.1688,644812.7194,1.96
3525,23,trunk,5956420.5796,644814.2119,1.72
3525,13,trunk,5956420.6131,644813.8178,2.00
3525,22,trunk,5956420.7588,644813.9290,1.54
3535,8,trunk,5956420.6966,644815.4324,1.76
3535,7,trunk,5956420.6370,644815.5407,1.52
3535,4,trunk,5956420.8094,644815.3176,1.58
3545,8,trunk,5956420.2046,644817.1319,1.54
3545,15,trunk,5956420.1540,644817.2537,1.25
3545,27,trunk,5956420.2703,644816.8391,1.65
3545,25,trunk,5956420.1483,644816.8564,1.56
3545,20,trunk,5956420.2693,644816.7372,1.44
3545,19,trunk,5956420.0440,644816.5386,1.58
3555,9,trunk,5956419.8491,644818.9107,1.17
3555,25,trunk,5956419.8730,644818.3414,1.71
3555,12,trunk,5956419.8938,644818.2383,1.50
3565,30,trunk,5956419.2756,644820.1819,1.67
3565,15,trunk,5956419.2815,644820.3643,1.33
3565,20,trunk,5956419.3983,644820.2641,1.25
3565,4,trunk,5956419.2957,644820.1029,1.39
3565,31,trunk,5956419.1029,644819.8631,1.59
3565,5,trunk,5956419.1040,644819.9916,1.42
3575,7,trunk,5956419.1644,644821.6923,1.71
3575,20,trunk,5956419.1115,644821.6538,1.74
3575,4,trunk,5956419.3311,644821.8363,1.17
3575,10,trunk,5956419.0999,644821.5265,1.47
3575,9,trunk,5956419.3480,644821.4806,1.43
3575,15,trunk,5956419.0880,644821.3111,1.48
3585,17,trunk,5956418.7639,644823.2618,1.49
3585,22,trunk,5956418.7838,644822.7291,1.80
3595,1,trunk,5956418.2316,644825.1369,1.51
3595,17,trunk,5956418.0932,644825.0839,1.44
3595,10,trunk,5956418.3196,644824.9305,1.52
3595,8,trunk,5956418.2886,644825.1024,1.20
3605,10,trunk,5956417.8087,644827.1476,1.16
3605,2,trunk,5956417.8064,644827.1473,1.17
3605,14,trunk,5956417.5713,644826.8780,1.39
3605,0,trunk,5956417.8586,644826.6021,1.63
3615,7,trunk,5956417.2519,644829.0308,1.33
3615,2,trunk,5956417.3248,644828.9103,1.21
3615,10,trunk,5956417.1795,644828.6442,1.47
3625,13,trunk,5956416.8421,644830.9618,1.16
3625,1,trunk,5956416.8403,644830.1416,2.03
3625,23,trunk,5956416.7145,644830.5527,1.37
3635,8,trunk,5956416.3082,644832.7877,1.28
3635,26,trunk,5956416.3640,644832.4384,1.27
3645,7,trunk,5956415.7635,644834.5362,1.50
3645,11,trunk,5956415.6254,644834.4824,1.43
3645,20,trunk,5956415.8992,644834.5139,1.24
3645,26,trunk,5956415.8664,644834.5313,1.17
3645,17,trunk,5956415.8664,644834.5313,1.17
3645,25,trunk,5956415.9875,644833.9396,1.69
3655,11,trunk,5956415.2331,644836.3816,1.53
3655,16,trunk,5956415.2086,644836.3327,1.57
3655,12,trunk,5956414.9960,644836.2618,1.48
3655,2,trunk,5956415.3349,644836.1216,1.57
3655,21,trunk,5956415.2823,644836.2890,1.30
3665,5,trunk,5956414.7520,644838.2120,1.48
